Year,Region Name,Median Price
1996,Windsor County,1303872
1997,Windsor County,1315582
1998,Windsor County,1419280
1999,Windsor County,1565759
2000,Windsor County,1658719
2001,Windsor County,1769781
2002,Windsor County,1903665
2003,Windsor County,2057664
2004,Windsor County,2258416
2005,Windsor County,2492360
2006,Windsor County,2787359
2007,Windsor County,2939062
2008,Windsor County,2925929
2009,Windsor County,2831136
2010,Windsor County,2872361
2011,Windsor County,2842711
2012,Windsor County,2825190
2013,Windsor County,2807146
2014,Windsor County,2770063
2015,Windsor County,2786753
2016,Windsor County,2800019
2017,Windsor County,2845734
2018,Windsor County,2923105
2019,Windsor County,2862679
2020,Windsor County,729096
1996,Windham County,2413212
1997,Windham County,2434353
1998,Windham County,2499952
1999,Windham County,2670624
2000,Windham County,2885360
2001,Windham County,3081509
2002,Windham County,3330164
2003,Windham County,3588294
2004,Windham County,4084108
2005,Windham County,4614571
2006,Windham County,5097850
2007,Windham County,5252482
2008,Windham County,5188373
2009,Windham County,4893021
2010,Windham County,4688517
2011,Windham County,4603096
2012,Windham County,4530432
2013,Windham County,4574942
2014,Windham County,4622329
2015,Windham County,4610454
2016,Windham County,4505004
2017,Windham County,4713456
2018,Windham County,4915090
2019,Windham County,5064863
2020,Windham County,1289722
1996,Winchester City,
1997,Winchester City,
1998,Winchester City,
1999,Winchester City,
2000,Winchester City,
2001,Winchester City,
2002,Winchester City,
2003,Winchester City,
2004,Winchester City,
2005,Winchester City,2184025
2006,Winchester City,2725722
2007,Winchester City,2731704
2008,Winchester City,2590441
2009,Winchester City,2425497
2010,Winchester City,2313678
2011,Winchester City,2243303
2012,Winchester City,2210760
2013,Winchester City,2204284
2014,Winchester City,2215502
2015,Winchester City,2222537
2016,Winchester City,2240349
2017,Winchester City,2309675
2018,Winchester City,2407977
2019,Winchester City,2526216
2020,Winchester City,642535
1996,Wilson County,1583991
1997,Wilson County,1684094
1998,Wilson County,1772878
1999,Wilson County,1831953
2000,Wilson County,1896604
2001,Wilson County,1972036
2002,Wilson County,2016232
2003,Wilson County,2048554
2004,Wilson County,2101968
2005,Wilson County,5013390
2006,Wilson County,5736451
2007,Wilson County,6028833
